"access_code","f1_send_by","f1_sent","f1_done","f2_send_by","f2_sent","f2_done"
"0zue7m453vlc","2024-08-13",NA,NA,"2024-08-27",NA,NA
"zh6p083t86j","2024-08-13",NA,NA,"2024-08-27",NA,NA
"87nw5pi8p1v","2024-08-13",NA,NA,"2024-08-27",NA,NA
"29rjl4zwyuc","2024-08-13",NA,NA,"2024-08-27",NA,NA
"gh1norgo3gf","2024-08-13",NA,NA,"2024-08-27",NA,NA
"kwczme812i","2024-08-13",NA,NA,"2024-08-27",NA,NA
"7kifb8vzjro","2024-08-13",NA,NA,"2024-08-27",NA,NA
"22jtleqj677","2024-08-13",NA,NA,"2024-08-27",NA,NA
"0hw67tes0en","2024-08-13",NA,NA,"2024-08-27",NA,NA
"pj8hxiahiep","2024-08-13",NA,NA,"2024-08-27",NA,NA
"5z7aw1f9g2s","2024-08-13",NA,NA,"2024-08-27",NA,NA
